Time,Trust
8.890000,520.350098
8.900000,523.013794
8.910000,525.689697
8.920000,528.377808
8.930000,531.078125
8.940000,533.790710
8.950000,536.515625
8.960000,539.252747
8.970000,542.002197
8.980000,544.764038
8.990000,547.538208
9.000000,550.324829
9.010000,553.123779
9.020000,555.935181
9.030000,558.759094
9.040000,561.595459
9.050000,564.444275
9.060000,567.305664
9.070000,570.179626
9.080000,573.066101
9.090000,575.965149
9.100000,578.876831
9.110000,581.801208
9.120000,584.738159
9.130000,587.687805
9.140000,590.650146
9.150000,593.625183
9.160000,596.612976
9.170000,599.613525
9.180000,602.626831
9.190000,605.652954
9.200000,608.691895
9.210000,611.743652
9.220000,614.808228
9.230000,617.885742
9.240000,620.976135
9.250000,624.079407
9.260000,627.195618
9.270000,630.324768
9.280000,633.466919
9.290000,636.622009
9.300000,639.790100
9.310000,642.971252
9.320000,646.165405
9.330000,649.372620
9.340000,652.592896
9.350000,655.826294
9.360000,659.072754
9.370000,662.332336
9.380000,665.605103
9.390000,668.890991
9.400000,672.190063
9.410000,675.502258
9.420000,678.827698
9.430000,682.166382
9.440000,685.518250
9.450000,688.883423
9.460000,692.261780
9.470000,695.653442
9.480000,699.058411
9.490000,702.476624
9.500000,705.908203
9.510000,709.353088
9.520000,712.811340
9.530000,716.282959
9.540000,719.767883
9.550000,723.266235
9.560000,726.778015
9.570000,730.303101
9.580000,733.841675
9.590000,737.393677
9.600000,740.959106
9.610000,744.537964
9.620000,748.130310
9.630000,751.736145
9.640000,755.355408
9.650000,758.988220
9.660000,762.634521
9.670000,766.294312
9.680000,769.967651
9.690000,773.654480
9.700000,777.354919
9.710000,781.068848
9.720000,784.796326
9.730000,788.537415
9.740000,792.292053
9.750000,796.060303
9.760000,799.842102
9.770000,803.637573
9.780000,807.446533
9.790000,811.269165
9.800000,815.105408
9.810000,818.955322
9.820000,822.818787
9.830000,826.695923
9.840000,830.586670
9.850000,834.491089
9.860000,838.409180
9.870000,842.340881
9.880000,846.286255
9.890000,850.245300
9.900000,854.217957
9.910000,858.204346
9.920000,862.204346
9.930000,866.218079
9.940000,870.245422
9.950000,874.286499
9.960000,878.341248
9.970000,882.409668
9.980000,886.491760
9.990000,890.587524
10.000000,894.697021
10.010000,898.820129
10.020000,902.956970
10.030000,907.107483
10.040000,911.271667
10.050000,915.449585
10.060000,919.641113
10.070000,923.846375
10.080000,928.065308
10.090000,932.297852
10.100000,936.544128
10.110000,940.804077
10.120000,945.077637
10.130000,949.364929
10.140000,953.665833
10.150000,957.980408
10.160000,962.308655
10.170000,966.650513
10.180000,971.005981
10.190000,975.375122
10.200000,979.757874
10.210000,984.154297
10.220000,988.564270
10.230000,992.987915
10.240000,997.425110
10.250000,1001.875916
10.260000,1006.340271
10.270000,1010.818237
10.280000,1015.309814
10.290000,1019.814880
10.300000,1024.333496
10.310000,1028.865723
10.320000,1033.411377
10.330000,1037.970581
10.340000,1042.543335
10.350000,1047.129639
10.360000,1051.729370
10.370000,1056.342529
10.380000,1060.969116
10.390000,1065.609253
10.400000,1070.262817
10.410000,1074.929688
10.420000,1079.610107
10.430000,1084.303833
10.440000,1089.010986
10.450000,1093.731445
10.460000,1098.465332
10.470000,1103.212524
10.480000,1107.973022
10.490000,1112.746826
10.500000,1117.533813
10.510000,1122.334229
10.520000,1127.147827
10.530000,1131.974609
10.540000,1136.814575
10.550000,1141.667847
10.560000,1146.534180
10.570000,1151.413696
10.580000,1156.306396
10.590000,1161.212158
10.600000,1166.131104
10.610000,1171.062988
10.620000,1176.007935
10.630000,1180.965942
10.640000,1185.936890
10.650000,1190.920898
10.660000,1195.917847
10.670000,1200.927734
10.680000,1205.950439
10.690000,1210.986084
